Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Work category),Custom field ([CHART] Date of First Response),Comment,Status Category
Verify an error message shown for the blank input for the Mobile Number Field.,RET-53,10059,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000c7:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify by entering the less number than the actual mobile number.,RET-52,10058,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 11:29 AM,18/Feb/22 11:02 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Telephone field with less than the actual telephone Number.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-053617.png|width=453,height=126!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,RET-119,,,,,,,,,,18/Feb/22 11:06 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-053617.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10012/image-20220218-053617.png,,,,,,,{},,,,0|i000bz:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Verify Telephone field should accept only the numeric value by entering the special character.,RET-51,10057,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 11:25 AM,18/Feb/22 10:23 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Name fields with a HTML tag.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

* !image-20220218-044820.png|width=453,height=126!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,RET-114,,,,,,,,,,18/Feb/22 10:18 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-044820.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10006/image-20220218-044820.png,,,,,,,{},,,,0|i000br:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Verify Telephone field should accept only the numeric value by entering alphabets.,RET-50,10056,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 11:26 AM,18/Feb/22 10:30 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Telephone field with alphanumeric input.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-050240.png|width=453,height=126!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,RET-116,,,,,,,,,,18/Feb/22 10:32 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-050240.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10008/image-20220218-050240.png,,,,,,,{},,,,0|i000bj:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Add a valid mobile number and verify the field should accept the correct mobile number.,RET-49,10055,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:21 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000bb:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify that the Telephone field should display the accepted format of the Telephone as the placeholder text for user assistance.,RET-48,10054,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:29 AM,21/Feb/22 9:56 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000b3:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Verify trailing dot in the email id text box is invalid.,RET-47,10053,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000av:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify leading dot in the email id text box is invalid.,RET-46,10052,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:39 AM,21/Feb/22 9:56 AM,18/Feb/22 9:39 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000an:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify email id can contain a plus sign.,RET-45,10051,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:38 AM,21/Feb/22 9:56 AM,18/Feb/22 9:38 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000af:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify email id can contain a dot in the subdomain field.,RET-44,10050,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:37 AM,21/Feb/22 9:56 AM,18/Feb/22 9:37 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000a7:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify email id can contain a dot in the address field.,RET-43,10049,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:36 AM,18/Feb/22 9:36 AM,18/Feb/22 9:36 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0009z:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check by entering ”HTML tag” and click save button.,RET-42,10048,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 10:12 AM,18/Feb/22 10:23 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Name fields with a HTML tag.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Screenshot:*

!image-20220218-043801.png|width=697,height=178!",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,RET-1,,,,,,,,,,,,18/Feb/22 10:08 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-043801.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10005/image-20220218-043801.png,,,,,,,{},,,,0|i0009r:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check for numeric characters only.,RET-41,10047,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:29 AM,21/Feb/22 9:56 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0009j:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check Max-Min character limit of text box.,RET-40,10046,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:34 AM,21/Feb/22 9:56 AM,18/Feb/22 9:34 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0009b:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check the text box is blank or not by default.,RET-39,10045,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:29 AM,21/Feb/22 9:56 AM,18/Feb/22 9:29 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00093:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify the Name field with Special characters,RET-38,10044,Test,In Progress,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:29 AM,21/Feb/22 9:56 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008v:,,,,,RET Sprint 1,,,,,,,,,,,,In Progress
Check if all the tabs under Add Affiliate page is working,RET-37,10043,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:28 AM,21/Feb/22 9:56 AM,18/Feb/22 9:28 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008n:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if Add button is taking us to Add Affiliate page,RET-36,10042,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:28 AM,18/Feb/22 9:28 AM,18/Feb/22 9:28 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008f:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"Check if the form accepts the valid month, date, year in mm/dd/yy format.",RET-35,10041,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:28 AM,21/Feb/22 9:56 AM,18/Feb/22 9:28 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00087:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check that user able to change the date or not once select from date picker.,RET-34,10040,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:28 AM,21/Feb/22 9:56 AM,18/Feb/22 9:28 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007z:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"Click on the date field, select the date, and verify if the correct date is shown in the box.",RET-33,10039,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:28 AM,21/Feb/22 9:56 AM,18/Feb/22 9:28 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007r:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if the calendar component allows 10 years forward and backward to select the dates.,RET-32,10038,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:28 AM,21/Feb/22 9:56 AM,18/Feb/22 9:28 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007j:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if today’s date is highlighted or not for the default selection of the date box.,RET-31,10037,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:28 AM,21/Feb/22 9:56 AM,18/Feb/22 9:28 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007b:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if the calendar component allows scrolling month field forward and backward.,RET-30,10036,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00073:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"Check on click out side of the date picker, the date picker is closing or not.",RET-29,10035,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0006v:,,,,,RET Sprint 1,,,,,,,,,,,,Done
"heck on selecting the date from the date picker, the date picker is closed or not.",RET-28,10034,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0006n:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check if the calendar component loads properly after a click on any date box.,RET-27,10033,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0006f:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check the user is able to select the date from the date picker.,RET-26,10032,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00067:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Check the calendar component is active when the date boxes are clicked.,RET-25,10031,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0005z:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify that returned results can be sorted.,RET-24,10030,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0005r:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Validate filtering is optional and not required.,RET-23,10029,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:20 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0005j:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify search results before applying filters are accurate and complete.,RET-22,10028,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:19 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0005b:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify unselecting the filter area collapses the filter.,RET-21,10027,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:19 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00053:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Verify clicking the filter dropdown expands the filter.,RET-20,10026,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:19 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0004v:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Validate search rules defined for “Similar Match” with the search key word,RET-19,10025,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:19 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0004n:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Validate search rules defined for “Exact Match” with the search key word,RET-18,10024,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:19 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0004f:,,,,,RET Sprint 1,,,,,,,,,,,,Done
Water text should be provided for user to understand what to search,RET-17,10023,Test,Done,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,Done,,,nitesh kumar,620b303cef2bd5006ae8ba0d,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 9:19 PM,18/Feb/22 9:27 AM,21/Feb/22 9:56 AM,18/Feb/22 9:27 AM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00047:,,,,,RET Sprint 1,,,,,,,,,,,,Done
